Namespace(n_epochs=100, batch_size=64, lr=5e-05, n_cpu=8, latent_dim=100, img_size=28, channels=1, n_critic=5, clip_value=0.01, sample_interval=3000)
[Epoch 0/100] [Batch 0/938] [D loss: 0.117767] [G loss: 0.009890]
[Epoch 0/100] [Batch 5/938] [D loss: -0.123247] [G loss: 0.008850]
[Epoch 0/100] [Batch 10/938] [D loss: -0.384034] [G loss: 0.005205]
[Epoch 0/100] [Batch 15/938] [D loss: -0.806946] [G loss: -0.007862]
[Epoch 0/100] [Batch 20/938] [D loss: -1.286437] [G loss: -0.032827]
[Epoch 0/100] [Batch 25/938] [D loss: -1.853656] [G loss: -0.072043]
[Epoch 0/100] [Batch 30/938] [D loss: -2.442340] [G loss: -0.127158]
[Epoch 0/100] [Batch 35/938] [D loss: -3.111820] [G loss: -0.193554]
[Epoch 0/100] [Batch 40/938] [D loss: -3.720890] [G loss: -0.289404]
[Epoch 0/100] [Batch 45/938] [D loss: -4.314781] [G loss: -0.406779]
[Epoch 0/100] [Batch 50/938] [D loss: -4.845766] [G loss: -0.556374]
[Epoch 0/100] [Batch 55/938] [D loss: -5.554582] [G loss: -0.698760]
[Epoch 0/100] [Batch 60/938] [D loss: -5.966231] [G loss: -0.873140]
[Epoch 0/100] [Batch 65/938] [D loss: -6.377482] [G loss: -1.103385]
[Epoch 0/100] [Batch 70/938] [D loss: -6.752130] [G loss: -1.318100]
[Epoch 0/100] [Batch 75/938] [D loss: -7.395519] [G loss: -1.545207]
[Epoch 0/100] [Batch 80/938] [D loss: -7.928706] [G loss: -1.815522]
[Epoch 0/100] [Batch 85/938] [D loss: -8.443355] [G loss: -2.098398]
[Epoch 0/100] [Batch 90/938] [D loss: -8.697945] [G loss: -2.518049]
[Epoch 0/100] [Batch 95/938] [D loss: -9.133806] [G loss: -2.884617]
[Epoch 0/100] [Batch 100/938] [D loss: -9.570025] [G loss: -3.098847]
[Epoch 0/100] [Batch 105/938] [D loss: -9.481882] [G loss: -3.560071]
[Epoch 0/100] [Batch 110/938] [D loss: -9.865570] [G loss: -4.027210]
[Epoch 0/100] [Batch 115/938] [D loss: -9.996981] [G loss: -4.414785]
[Epoch 0/100] [Batch 120/938] [D loss: -9.831408] [G loss: -4.909122]
[Epoch 0/100] [Batch 125/938] [D loss: -10.051309] [G loss: -5.571327]
[Epoch 0/100] [Batch 130/938] [D loss: -10.606678] [G loss: -5.861892]
[Epoch 0/100] [Batch 135/938] [D loss: -10.177679] [G loss: -6.814117]
[Epoch 0/100] [Batch 140/938] [D loss: -10.041384] [G loss: -7.302093]
[Epoch 0/100] [Batch 145/938] [D loss: -10.336103] [G loss: -7.851336]
[Epoch 0/100] [Batch 150/938] [D loss: -10.361086] [G loss: -8.202205]
[Epoch 0/100] [Batch 155/938] [D loss: -9.804527] [G loss: -9.033151]
[Epoch 0/100] [Batch 160/938] [D loss: -9.369729] [G loss: -10.251290]
[Epoch 0/100] [Batch 165/938] [D loss: -9.340223] [G loss: -10.424374]
[Epoch 0/100] [Batch 170/938] [D loss: -9.981054] [G loss: -10.689531]
[Epoch 0/100] [Batch 175/938] [D loss: -8.492102] [G loss: -12.142831]
[Epoch 0/100] [Batch 180/938] [D loss: -8.119745] [G loss: -12.368735]
[Epoch 0/100] [Batch 185/938] [D loss: -8.601598] [G loss: -13.135997]
[Epoch 0/100] [Batch 190/938] [D loss: -9.493403] [G loss: -12.661230]
[Epoch 0/100] [Batch 195/938] [D loss: -7.898407] [G loss: -14.373110]
[Epoch 0/100] [Batch 200/938] [D loss: -8.266826] [G loss: -14.436980]
[Epoch 0/100] [Batch 205/938] [D loss: -8.104544] [G loss: -14.940810]
[Epoch 0/100] [Batch 210/938] [D loss: -7.892529] [G loss: -14.904729]
[Epoch 0/100] [Batch 215/938] [D loss: -8.028884] [G loss: -15.455131]
[Epoch 0/100] [Batch 220/938] [D loss: -6.955633] [G loss: -16.482599]
[Epoch 0/100] [Batch 225/938] [D loss: -6.802338] [G loss: -16.951805]
[Epoch 0/100] [Batch 230/938] [D loss: -6.289471] [G loss: -17.636766]
[Epoch 0/100] [Batch 235/938] [D loss: -6.217640] [G loss: -17.776611]
[Epoch 0/100] [Batch 240/938] [D loss: -6.549484] [G loss: -17.562296]
[Epoch 0/100] [Batch 245/938] [D loss: -6.393646] [G loss: -18.134106]
[Epoch 0/100] [Batch 250/938] [D loss: -5.707752] [G loss: -18.614187]
[Epoch 0/100] [Batch 255/938] [D loss: -5.148857] [G loss: -19.440022]
[Epoch 0/100] [Batch 260/938] [D loss: -5.403009] [G loss: -18.905079]
[Epoch 0/100] [Batch 265/938] [D loss: -5.087868] [G loss: -19.328226]
[Epoch 0/100] [Batch 270/938] [D loss: -5.639709] [G loss: -18.874657]
[Epoch 0/100] [Batch 275/938] [D loss: -5.563599] [G loss: -19.404966]
[Epoch 0/100] [Batch 280/938] [D loss: -4.525261] [G loss: -19.599028]
[Epoch 0/100] [Batch 285/938] [D loss: -4.130587] [G loss: -20.246675]
[Epoch 0/100] [Batch 290/938] [D loss: -5.053404] [G loss: -19.419811]
[Epoch 0/100] [Batch 295/938] [D loss: -4.428045] [G loss: -19.940859]
[Epoch 0/100] [Batch 300/938] [D loss: -5.010759] [G loss: -19.806625]
[Epoch 0/100] [Batch 305/938] [D loss: -4.807968] [G loss: -19.863218]
[Epoch 0/100] [Batch 310/938] [D loss: -3.999329] [G loss: -20.620502]
[Epoch 0/100] [Batch 315/938] [D loss: -3.920799] [G loss: -20.409998]
[Epoch 0/100] [Batch 320/938] [D loss: -4.585249] [G loss: -20.052267]
[Epoch 0/100] [Batch 325/938] [D loss: -4.607853] [G loss: -19.858669]
[Epoch 0/100] [Batch 330/938] [D loss: -3.819117] [G loss: -20.402395]
[Epoch 0/100] [Batch 335/938] [D loss: -3.589426] [G loss: -20.779276]
[Epoch 0/100] [Batch 340/938] [D loss: -3.886086] [G loss: -20.216812]
[Epoch 0/100] [Batch 345/938] [D loss: -3.290085] [G loss: -20.618334]
[Epoch 0/100] [Batch 350/938] [D loss: -4.360126] [G loss: -19.684782]
[Epoch 0/100] [Batch 355/938] [D loss: -3.931356] [G loss: -19.901459]
[Epoch 0/100] [Batch 360/938] [D loss: -3.254486] [G loss: -20.798592]
[Epoch 0/100] [Batch 365/938] [D loss: -4.166189] [G loss: -19.831024]
[Epoch 0/100] [Batch 370/938] [D loss: -3.526270] [G loss: -20.039440]
[Epoch 0/100] [Batch 375/938] [D loss: -3.801924] [G loss: -20.183819]
[Epoch 0/100] [Batch 380/938] [D loss: -3.018364] [G loss: -20.111919]
[Epoch 0/100] [Batch 385/938] [D loss: -3.382423] [G loss: -20.293861]
[Epoch 0/100] [Batch 390/938] [D loss: -3.138456] [G loss: -20.013702]
[Epoch 0/100] [Batch 395/938] [D loss: -2.997076] [G loss: -20.189159]
[Epoch 0/100] [Batch 400/938] [D loss: -2.937426] [G loss: -20.307364]
[Epoch 0/100] [Batch 405/938] [D loss: -3.185427] [G loss: -19.896305]
